# synthesis rates in mRNA/min
# mRNA decay halflives in min
#
gene	synthesis_rate	halflife
beeA	0.04	2.38
rwpB	0.01	9.97
eyhO	0.19	2.94
todB	0.03	3.76
zwsV	0.47	5.94
sieM	0.42	5.64
tpyV	0.00	3.71
gvpI	0.18	8.13
nmiU	0.18	1.03
ghvW	0.36	2.02
gwbF	0.02	7.91
kasA	1.66	5.86
fhzZ	0.24	6.38
dtmE	0.09	2.18
ojiR	0.25	7.36
jstI	0.01	1.45
lcrD	0.03	1.21
jeoQ	0.28	3.09
ikpL	0.08	3.77
tboM	0.04	1.06
ldpS	0.16	2.22
npqK	0.07	6.33
atmS	2.48	9.62
kluA	0.01	3.76
ssvT	0.02	1.33
ifrC	4.19	1.13
nrnA	0.01	11.40
wdhT	0.05	5.79
eajQ	6.28	4.07
waoZ	0.01	1.03
abvU	0.58	3.88
oleF	0.22	7.08
tpwB	1.91	0.49
snlV	0.19	0.29
faqR	0.19	4.67
wqeT	1.36	8.70
ofuK	0.04	3.70
davK	0.02	7.90
iohQ	0.13	1.68
nctF	1.74	1.74
wsdW	0.20	17.93
yohS	0.04	3.41
hdzH	0.31	2.75
yleV	0.05	2.01
arxQ	4.61	0.76
tppU	0.16	1.14
qgwZ	0.22	9.00
ocxL	2.57	3.18
nlmY	0.18	3.12
dmlN	0.13	5.38
bklC	0.05	0.73
ikhT	0.01	1.84
hyoW	0.08	1.63
ifzH	0.44	5.00
cbjF	0.02	4.03
grzT	7.39	13.48
shfA	0.01	4.10
qasV	0.30	1.82
tiwK	0.17	4.92
uwxH	0.06	2.53
rxwM	0.02	20.00
qxnS	0.49	1.37
lskE	0.12	0.88
pdnA	0.34	2.12
ztfP	0.03	1.28
wjbD	0.06	2.64
vqhY	0.19	2.09
eeyH	0.03	1.05
eafA	0.17	2.03
chbH	0.02	1.73
olaY	0.09	18.79
qcxD	0.04	9.15
fmhJ	0.13	4.37
mdrI	0.14	3.63
dxxU	0.12	1.75
qzmP	0.01	5.20
nkdD	0.45	2.76
yaxI	0.17	2.07
oqkR	0.53	1.78
xbaY	0.13	2.21
lqdF	0.56	2.36
dljA	1.28	21.96
ezrF	0.13	1.44
gtzL	0.03	3.95
edpX	0.16	12.40
bnkM	0.03	2.37
gcaL	0.12	3.69
gtsZ	0.11	15.16
kjhU	0.04	1.69
hbaJ	0.48	2.75
rqgO	0.12	4.41
azeP	0.00	2.69
xzyO	0.02	2.00
wqdD	0.09	4.77
tccU	0.05	2.63
idiZ	0.32	8.36
bnoT	0.29	2.61
gijX	0.52	0.35
svwF	0.04	7.02
oacL	0.01	6.18
ceoR	0.01	8.41
hbaM	0.17	2.57
immA	0.03	5.64
abzC	0.04	4.55
nbmE	0.52	1.86
rphJ	0.04	5.39
xfeK	0.08	1.94
ruuT	0.03	4.73
mrqK	0.08	3.43
useE	0.19	0.71
mqgJ	0.04	12.09
yuuL	0.10	1.13
innZ	0.00	5.90
wzrJ	0.01	2.51
ehkG	0.73	6.79
ttiY	0.93	1.40
ebeU	0.02	0.54
ynkV	0.02	1.87
gggS	1.05	3.02
rhnS	0.11	0.48
gnxU	0.18	4.22
hnoE	0.06	8.89
ipzY	0.42	5.28
ccrS	0.02	2.20
zsbS	0.53	4.47
mklO	1.28	4.68
jasE	0.10	3.71
nldG	0.15	2.37
ebtB	0.36	3.75
ywrJ	0.18	4.67
nefT	0.15	3.58
pfaF	0.02	2.62
ugxG	0.23	5.52
bvnK	0.01	2.23
fcgB	0.06	12.50
jtqS	0.17	3.60
lwbC	0.03	2.07
edjP	0.01	1.72
fuuD	0.04	3.17
fqzM	0.03	3.40
xanD	0.10	0.96
ezvF	0.01	2.30
kweX	0.73	3.29
osfT	0.02	4.09
jlyO	0.25	10.26
pgiT	0.19	1.67
cdfG	0.05	7.78
wqjL	0.03	7.08
xwnT	0.58	8.94
vizN	0.50	4.81
eitV	0.05	2.28
fsbC	0.03	2.85
xuqX	0.23	1.14
nmlG	0.01	4.95
cayG	0.29	1.04
ferB	0.01	5.09
judL	11.49	2.27
rgiG	0.03	12.84
staN	0.23	3.41
ntiX	2.97	20.62
ginV	0.15	2.15
aqkW	0.36	9.92
udsC	0.08	9.67
kkjT	0.23	8.90
dghD	0.01	1.06
mnhJ	0.18	14.92
uqyN	0.09	4.75
omfV	0.01	0.75
arvO	0.09	2.86
trvP	0.04	8.19
ayxP	0.92	2.06
dmuD	0.25	3.14
gboK	0.05	4.15
gmpF	0.00	1.00
pjlR	0.13	2.53
vniN	0.68	1.13
mnsN	0.04	1.71
logO	0.05	5.78
nstO	0.13	3.03
qlgF	1.23	1.17
eqaG	2.04	7.40
pplE	0.07	5.86
idvW	0.12	3.95
ycuX	0.18	9.24
slvW	1.49	2.83
jdjD	0.01	1.48
xyeK	0.26	4.99
mxzU	1.84	2.67
lwnG	0.03	3.95
pmmM	0.08	1.46
swkJ	1.76	4.20
zifY	0.04	0.60
brmQ	0.09	6.33
gngQ	0.03	1.85
zchV	0.26	2.11
seuD	0.07	0.65
vcgY	0.08	1.85
amyE	0.10	1.56
ighE	0.01	3.13
flmL	0.01	1.07
rudB	0.05	2.22
ehhA	0.08	2.28
cgfO	1.46	2.27
vggW	0.23	3.62
gdoW	0.09	4.20
psoQ	0.95	1.37
dgcS	0.03	2.22
kjzT	0.01	7.37
mrsG	0.12	0.64
lblF	0.01	2.07
yeoS	0.11	9.66
yawP	0.08	4.17
ivrK	0.08	5.48
uupX	0.12	1.59
ndvL	0.77	3.41
ssyT	0.14	4.14
avrB	1.02	2.52
ixbB	0.12	1.13
mkzY	0.15	0.72
ybqG	0.14	7.76
qkvR	0.06	6.09
cqgW	0.02	10.88
fbtG	0.12	3.43
kwuS	0.04	2.67
ndkO	0.08	7.77
htvI	0.15	3.31
auuQ	0.09	3.43
knxF	0.26	3.14
xjuR	0.04	1.24
lelN	0.01	7.99
jlbS	0.39	3.33
fpdQ	0.11	4.97
hggX	0.08	2.93
bdjV	0.17	2.26
ikkO	0.27	1.75
shvB	0.02	3.08
tflR	0.02	6.35
luiI	0.02	1.35
mghH	0.01	5.17
kwsH	0.02	3.42
ljhR	0.01	4.54
wtqW	0.00	2.42
pniV	2.09	6.59
rtsB	0.32	19.99
tibT	0.24	1.48
jlfQ	0.33	2.98
fpuL	0.02	2.00
pxuH	0.03	3.65
qygU	0.03	0.73
jvmS	0.11	1.84
ctkL	0.03	6.84
lnmX	0.01	0.49
zbiY	0.27	5.40
usyX	0.90	3.36
vehL	0.04	8.09
hvgH	0.00	2.36
negC	0.47	5.62
zuiZ	0.13	3.86
nnqU	0.01	4.85
eebV	0.58	34.03
gsmR	0.14	3.29
rcyD	0.00	2.29
omeO	0.21	2.94
fbjR	0.27	3.10
yflD	0.01	3.23
olnB	0.03	3.10
wgsP	0.71	3.49
xgoT	0.06	0.67
fbnJ	0.07	0.81
xseY	0.28	17.95
llkJ	0.01	2.71
ngfI	0.09	5.73
qogC	0.04	1.28
bhrE	0.01	2.51
ryiI	0.28	1.94
wibV	0.04	1.64
luqX	0.05	3.42
bisZ	0.45	4.48
pobB	0.15	2.50
sweO	0.07	10.52
craF	0.01	4.75
bfcT	0.07	1.77
vfuA	0.11	4.79
uexE	0.08	1.55
qgpH	0.15	8.65
wieJ	0.32	3.45
nolO	0.01	3.55
jsgB	0.00	8.49
emkN	0.03	3.50
jwwY	0.08	3.53
hjuD	0.02	5.69
ghfI	0.01	11.14
zlgN	0.07	3.95
yrxZ	0.12	4.48
ktfZ	0.00	1.72
uxxC	0.11	8.58
gzlZ	0.22	4.08
yofA	0.01	2.08
ifiD	0.02	3.93
dqvC	0.03	5.89
crcJ	0.13	7.69
uaaU	3.50	1.47
jnlK	0.03	1.35
eduT	0.08	2.56
vtqH	0.01	3.39
heoR	0.00	2.27
knmH	0.43	13.42
hfqY	0.00	3.99
xzkD	0.02	4.06
adbV	0.07	6.72
uldI	0.03	4.00
mxvN	0.04	9.90
alrI	0.16	7.58
gukM	0.04	2.42
qvlZ	0.01	5.30
nhcW	1.37	7.07
lgtZ	0.07	4.06
ovoH	0.34	4.65
ywtZ	0.01	1.85
becM	0.00	3.29
ynrC	0.07	4.25
xxuD	0.26	1.51
dvuD	1.33	5.05
ditB	1.03	2.31
pakS	1.09	2.98
bchA	0.08	1.19
weiF	0.01	0.96
zohW	0.03	2.87
jtgC	0.04	2.20
rkeF	0.26	1.15
vefW	0.03	1.95
nbgB	0.15	1.16
umzA	0.01	4.32
wfaD	0.02	4.56
pwhM	0.37	8.96
hdaR	0.04	4.39
pbqF	0.22	3.44
atqF	0.01	0.79
wdzQ	0.01	4.02
ezwS	0.00	2.04
accS	0.19	2.56
ezhB	0.21	3.31
sqyB	0.01	4.20
mhqG	0.08	2.52
mlvC	0.07	2.06
qkpS	0.09	3.00
tvkY	0.02	3.70
vqpR	0.74	3.73
jdaL	0.12	2.42
kgeW	0.05	0.74
jxrJ	1.22	1.84
aazN	0.08	6.79
sgiV	0.00	8.18
alzL	0.02	4.79
daxP	0.48	4.77
ahpE	0.01	7.62
ffvS	0.03	21.20
zqiP	0.92	1.39
thuR	0.52	0.98
yctG	0.05	3.73
ieiR	0.08	1.95
lnqE	0.01	7.94
rpzX	0.06	5.05
omgC	0.01	2.45
odhO	0.01	8.96
zvvF	0.02	19.00
nrgF	0.02	8.25
inaL	0.05	7.00
bcyY	0.01	9.34
vsoJ	0.01	6.92
ctfH	0.05	1.48
sekV	0.09	5.03
mbmL	0.05	1.85
zwbR	0.08	19.80
nfpT	0.12	5.19
bqnR	0.07	4.39
zeyH	0.04	4.17
nlhY	0.14	4.12
mpjK	0.29	4.98
tcoK	0.65	1.58
xhzN	0.08	6.41
tsgJ	0.02	0.86
wkcY	0.04	5.05
wstE	0.05	3.81
rxyO	0.01	10.29
bpfG	0.00	6.44
iivH	0.02	5.19
nwzL	0.51	6.95
eozE	0.01	30.98
fkkO	0.01	1.75
rfbU	0.41	1.46
gyoH	0.14	2.82
ryzV	0.40	6.74
zxpI	0.06	11.37
sjtO	0.35	5.98
yiwE	0.16	1.06
nyjE	0.03	3.62
jpbT	0.04	1.03
rmbZ	0.01	1.86
hdvR	0.65	2.79
thyF	0.01	8.55
njbV	0.09	1.60
tqxL	0.01	4.72
ixrC	0.23	0.93
xlyJ	1.31	5.60
jljX	0.02	11.38
mjqS	0.00	2.66
gqbH	0.14	1.25
ikmV	0.24	7.83
rcaH	0.03	7.71
vwzV	0.02	4.82
jbxF	0.18	2.26
vkaT	2.61	4.20
yzdD	0.13	1.74
zwpJ	0.05	5.96
oct2	0.02	4.48
unyL	0.25	1.44
rncK	0.44	0.26
kjuN	0.33	1.45
byjM	0.01	1.96
ytbH	0.33	5.18
cojO	0.05	1.10
faeY	0.01	3.29
hdeR	0.15	5.09
stfD	0.30	1.91
wnsC	0.43	5.57
bhdB	0.30	0.87
flcK	0.01	0.88
sbuV	0.07	3.00
auiR	0.06	4.25
jfoL	0.13	1.89
ydmS	0.16	2.22
macD	0.02	13.55
xxpU	0.01	1.18
emdW	0.33	10.30
eqrM	0.73	4.15
jskU	0.02	4.73
hziV	0.72	1.06
xufR	0.04	7.36
fpzL	0.02	4.12
lvbC	0.01	11.79
wwvG	0.06	4.14
rylV	0.12	9.63
hrzV	0.05	1.83
bqgK	0.25	2.02
qcyQ	0.11	2.44
jaaF	0.01	1.03
etzD	0.09	1.51
ftwC	0.05	2.84
zkwB	0.21	6.08
ftpJ	0.06	2.00
mcpZ	0.03	6.17
zsvX	0.03	5.03
gvcX	0.10	6.35
yxeI	0.11	1.89
bnlX	0.01	4.36
uwyK	0.60	9.94
hkxG	0.02	2.75
jahV	0.27	10.18
xkjT	0.04	13.03
atyM	0.05	2.61
qrwE	0.01	2.53
gdwI	0.12	1.59
pvwL	0.28	1.23
abrO	0.06	5.92
mhxW	0.03	0.63
knjG	0.03	8.86
uibB	0.01	4.13
kucS	0.14	4.25
bnjS	0.00	5.30
wmbF	0.00	11.67
luaC	0.41	4.18
meuB	0.03	5.37
imvO	0.07	3.10
xbaI	2.25	0.63
jvaX	0.06	5.87
lzhF	0.09	4.62
unhY	0.01	2.49
nfdT	0.13	6.26
gkoH	0.08	3.29
gbmZ	0.11	5.73
xnpF	5.76	10.60
asaB	0.02	4.32
gniN	0.77	7.94
iegA	0.13	3.76
mgkJ	0.56	3.22
qytG	0.04	0.92
dzhM	0.01	1.32
npfL	0.04	5.57
fciP	0.03	4.30
bjyP	0.01	18.03
ziiQ	0.11	2.82
iftR	0.02	14.22
vvwQ	0.18	4.47
azaN	0.09	9.09
myqJ	0.18	5.97
yvgQ	0.09	0.74
tmsX	0.07	3.60
sexN	0.69	15.05
athS	0.00	11.10
qfyG	0.17	2.89
mnsA	0.13	1.40
mvgK	0.09	11.08
zsdK	0.56	10.22
iwoR	0.06	2.79
xawU	0.24	4.00
rgbV	0.02	2.33
xkqE	0.24	4.02
zfqU	0.01	4.62
qsgJ	0.95	1.15
cwdI	0.53	0.92
tiqL	0.05	3.80
casX	0.15	3.92
wiiB	0.06	8.72
sqqP	0.00	4.53
zwaG	0.78	2.56
vccS	0.04	2.62
gsuS	0.22	4.63
nnpW	0.02	1.22
ldbJ	0.07	1.35
bmqV	0.05	1.62
oiiD	0.01	1.40
zbrY	0.01	2.52
btsJ	0.12	0.95
gumE	0.22	4.86
lorP	0.14	4.42
kfdZ	1.65	1.82
xjkK	0.27	2.92
nynA	0.09	4.68
lstM	0.14	4.21
sweT	0.15	3.46
nvcC	0.02	1.47
shvP	0.89	6.68
gerF	0.04	0.58
vurS	0.00	2.83
tmiR	0.02	1.25
hlnG	0.30	0.43
ljvW	0.04	2.50
yeuZ	0.02	3.29
azvP	0.01	1.05
qivC	0.17	9.90
cliF	0.02	8.17
tiwC	0.04	3.92
gmfM	0.11	2.08
axmR	1.30	11.71
ifoR	0.08	4.74
bvoS	0.02	2.84
aytO	0.01	3.62
miuZ	0.41	1.78
fskB	0.18	5.97
xfzF	0.09	1.02
caqE	3.71	2.45
vibF	0.16	22.35
ycfI	0.03	0.97
jdeX	0.62	6.82
dywV	0.00	4.53
jctH	0.54	2.93
bmoG	0.47	2.56
zsoZ	0.08	1.31
stfG	0.51	6.73
anzN	0.01	2.99
treH	0.90	0.80
nenQ	0.40	2.23
nbcD	0.81	3.83
iipE	0.08	3.59
zjrK	0.02	6.09
qmjI	0.03	1.08
iygL	0.04	6.34
lumE	0.11	3.76
aalG	0.27	1.62
sqoH	0.06	8.14
zykS	0.11	30.00
eekM	0.00	3.18
izwP	0.03	1.47
oeaK	0.17	4.54
berF	0.19	6.03
ithW	1.14	1.25
jdoV	0.11	1.58
rsgZ	0.06	2.47
qkaN	0.03	3.03
udjF	0.59	0.76
ubxS	1.40	6.46
nuwQ	0.11	1.73
paoH	0.02	6.00
lnyB	0.71	0.49
wtfH	0.46	4.87
keaI	0.01	3.26
lqsR	0.67	16.60
wzoL	0.06	10.33
knvL	0.21	6.65
yunK	0.17	5.01
lqlO	0.59	3.57
kbaO	0.01	5.17
rgtS	0.05	1.19
pqmY	0.08	1.71
xzlG	0.23	2.04
zuuW	0.05	6.88
xtjZ	0.15	1.70
kmuC	0.11	2.59
lguM	0.05	4.21
gpqZ	0.04	2.65
qvyI	0.74	3.32
mqqD	0.05	5.82
pxkK	0.01	1.52
bdbJ	0.01	6.48
qhrL	0.26	3.90
lmeK	0.01	10.64
vpqY	1.24	7.78
akbN	0.85	8.89
irhD	0.04	0.76
vykG	0.04	1.75
rcwW	0.10	4.04
hjlO	0.01	10.88
tleT	0.29	1.30
rcgX	0.13	4.26
nujL	0.02	13.91
yrdN	0.01	1.03
ssuW	0.06	6.74
xrxS	0.04	3.10
uxmI	0.53	2.96
tobP	0.79	2.51
lgtD	0.38	1.28
xndO	0.07	3.63
kwtV	0.08	2.49
vekP	0.03	1.26
irwL	1.02	0.79
luzU	0.11	2.57
eykJ	0.06	4.67
vaoM	1.08	2.18
zinM	0.72	7.86
kgbU	0.01	2.25
ycjC	2.71	1.45
czzZ	0.08	10.23
sbtR	0.64	4.06
mxrO	0.33	20.00
yziY	0.27	8.34
iadY	0.83	3.89
oiyZ	0.04	5.86
pfgF	0.44	3.07
smqH	0.01	3.40
notH	0.03	7.85
yyoP	0.08	2.24
vhqF	1.18	3.32
aitM	0.31	13.67
usdU	0.19	0.84
zoxO	0.18	4.47
wusG	0.10	7.36
rttO	0.14	0.94
xgpB	0.04	1.74
itiG	0.09	4.34
pysX	1.37	7.82
nbxZ	0.02	1.92
yhgT	0.17	3.71
xraI	0.20	2.92
xlwG	1.03	3.81
sneL	0.09	8.59
twhC	0.27	4.64
pwrF	0.06	3.55
kmdF	0.66	2.59
ywxF	0.04	1.36
ztgT	0.03	1.10
ndvR	0.02	4.18
otaL	0.04	3.57
vhzH	0.48	7.30
tkiE	0.01	2.32
lcvN	0.04	1.87
ndwK	0.01	2.48
exsN	0.62	10.71
drtX	0.00	20.77
zelM	0.09	1.24
irnX	0.08	20.52
dlcV	0.06	1.22
xjgY	0.07	2.25
jddR	0.32	2.91
nldU	0.29	9.38
uehF	0.06	3.83
zqnE	0.07	4.02
fcgP	0.40	2.56
layN	0.13	2.82
vkcT	0.02	4.91
ebyM	0.05	2.19
telP	0.11	7.66
oycK	0.03	4.45
cksP	0.00	3.79
rzmX	0.05	6.05
mouD	0.02	2.61
ejiI	0.38	6.13
hhpB	0.09	3.68
njzL	0.08	2.56
lqtX	0.08	3.55
hpoA	0.20	2.81
vzsR	0.04	2.62
diqN	0.29	2.97
xpaC	0.10	6.48
binE	0.15	1.19
vzrJ	0.10	38.34
tdeR	0.24	3.05
xgaR	0.03	10.39
qdcU	0.16	3.40
vnvJ	0.09	0.47
kixJ	0.00	4.10
dmcX	0.11	1.59
aumZ	0.12	5.35
tuaA	0.03	7.66
chsP	0.27	2.06
tywH	0.12	3.31
yzpR	0.39	3.69
pddR	0.04	10.00
tpfR	0.02	3.18
sidE	0.07	12.65
vioH	0.10	4.39
yyoY	0.09	3.11
ljeR	0.21	6.22
inoW	0.01	15.64
tpyW	0.03	4.24
slqO	0.02	5.10
hpwP	0.94	2.58
wtnK	0.08	2.19
tyhO	0.47	6.30
yneT	0.05	3.96
cmtI	0.13	8.54
jckS	0.04	5.02
ildJ	0.39	7.61
fdmJ	0.01	2.47
wxxL	0.04	11.86
urrR	0.00	0.68
nxiM	0.09	2.22
owkU	0.11	10.71
rmzQ	0.32	6.99
dfwL	0.02	6.83
lbrT	0.01	1.67
jhyF	0.06	2.80
eisT	3.39	1.02
kciG	0.21	2.12
yqzO	0.53	3.71
gpuC	0.12	1.74
uhgU	0.01	6.74
aztX	0.03	2.14
eynX	0.08	3.22
sovS	0.13	9.56
lcrR	0.06	1.87
kgvA	0.03	3.54
qlhI	0.07	9.42
domH	0.08	10.33
pbiD	0.01	5.85
yqyX	0.63	3.67
lluQ	0.14	1.28
xogQ	0.14	1.28
ferM	0.10	22.06
jqyV	0.05	2.61
rbgP	0.05	4.64
jarO	0.47	2.33
qtkQ	0.05	1.09
pkzE	0.03	3.55
lecW	0.04	0.99
nwfT	0.02	2.67
ynjG	0.26	1.75
uwfP	0.02	13.22
sep2	0.24	28.99
dboH	0.15	2.07
ullI	0.06	2.38
mujB	0.07	5.06
jvjS	0.01	4.41
sitX	0.28	4.32
hyfX	0.01	1.78
gkcP	0.00	4.23
ymcR	6.72	2.10
oimE	0.90	1.47
jhhF	0.04	8.44
zgiF	0.00	3.42
dfkN	0.30	2.00
dniA	4.19	0.81
ioiI	0.27	1.38
cdcX	0.01	1.98
hwmI	0.09	1.11
rvoT	0.03	7.96
iezV	0.11	1.22
vyrY	0.58	2.06
eupO	0.07	12.56
awcE	0.36	2.39
uehY	0.01	1.87
whnP	0.26	7.47
kuhY	0.07	0.68
mwjZ	0.04	0.72
pisQ	0.04	0.71
sqxA	0.02	1.57
eknX	0.10	1.40
focT	0.09	1.59
oqvB	0.08	6.64
ascT	0.01	5.51
nchE	0.08	12.91
quzV	0.10	1.81
kriH	0.08	1.17
vuuU	0.30	7.12
oltG	0.04	5.64
ppfH	0.29	1.68
ahoI	0.24	3.71
ibdW	0.25	1.09
dxkZ	2.03	1.78
mjqB	0.13	12.74
flxQ	0.25	1.30
lhfO	0.02	0.62
yrsN	0.00	1.61
zqaE	0.04	3.34
hddV	0.00	4.86
qydP	0.02	3.99
dzgZ	0.06	2.54
zecY	0.01	3.35
hjiE	0.02	0.97
etkB	0.09	4.09
brpT	0.35	1.90
nncC	0.27	3.31
xjqA	0.21	3.32
crjK	0.08	4.10
tapX	0.29	1.10
nqeE	0.02	3.24
efpV	0.54	4.45
pkmN	0.10	1.07
pgxM	0.18	2.24
xozF	0.11	15.25
mryL	0.14	3.33
shtG	0.32	2.20
adbW	0.02	2.04
vxwE	0.86	5.44
tmcS	0.06	3.85
idmM	0.31	1.33
finC	0.48	2.08
fnjZ	0.05	3.86
vyyQ	0.02	2.97
tvyC	0.05	8.31
jysJ	0.12	2.98
jnzG	0.25	7.80
pqqI	0.04	3.08
lrcZ	0.09	17.04
lnqR	0.02	11.37
wjvP	0.43	15.02
djcC	0.21	2.27
smiJ	0.41	5.42
dghA	0.10	0.49
gugS	0.09	2.12
iziS	0.05	1.90
wlfE	0.17	1.29
adpZ	0.13	2.07
hegX	2.93	4.26
tcsA	0.05	1.88
tseU	0.05	1.61
djyL	0.10	3.22
ycqY	0.08	8.51
pxiO	0.41	0.55
ekfF	0.01	14.12
pylK	0.65	3.02
tvvF	0.01	1.00
amvA	0.08	0.83
zllR	0.16	1.77
zkrE	0.02	8.92
ifmP	0.01	9.73
ztqJ	0.38	1.96
qwqY	0.19	1.71
kleO	0.17	3.60
jzwB	0.12	7.21
ahnX	0.18	2.40
kweA	0.80	4.70
robM	0.02	3.67
jdaF	0.05	3.42
uvlX	0.59	1.50
jucW	0.37	1.57
afjT	0.11	2.15
gciK	0.06	4.39
uqdA	0.87	2.32
qtzG	0.02	2.86
ahiR	0.04	3.40
xmuJ	0.08	6.79
hhcL	0.01	4.15
vkxH	0.06	4.18
nigE	0.03	0.95
iuyQ	0.01	3.51
gwpX	0.08	3.69
gkiS	0.09	9.61
issR	0.02	1.71
vilI	0.35	5.13
qhuK	0.06	3.01
dczC	0.10	1.78
bnuQ	0.02	6.98
uasV	0.00	26.57
kruL	0.39	0.50
ocyP	0.01	2.97
kxpW	0.03	3.22
syzG	0.38	8.50
xxhN	0.06	5.27
nmgP	0.05	2.36
qwgB	0.00	1.39
xsiO	0.04	2.56
jakH	0.07	2.17
rceP	0.21	1.69
ovxX	1.14	2.15
dwpR	0.03	3.37
tuaD	0.01	1.06
eibC	0.15	1.12
ztnO	0.01	0.55
wjsM	0.06	4.38
oyfX	0.06	34.10
yevU	0.18	6.61
dwrX	0.03	0.94
tqwK	0.21	11.57
oplE	0.02	1.43
ajfM	1.06	4.16
wkiN	0.38	3.55
dpuY	0.88	8.01
qrrJ	0.03	2.52
mjiS	0.21	7.66
vmvE	0.02	4.29
yiyU	0.12	8.52
wbsC	0.39	9.06
ziiI	0.10	0.80
tgyV	0.01	6.96
xhlG	0.01	5.03
dtaJ	0.20	2.18
qexI	0.24	2.06
dxwN	0.04	18.86
knrM	0.06	2.47
temY	0.01	6.90
lmvA	0.23	2.02
vsgT	0.71	2.04
gsuW	2.44	2.85
pqoH	0.04	3.82
hbtA	0.39	12.16
kajS	0.05	11.73
vhbI	0.05	1.47
wobM	0.04	6.26
jlzG	0.02	6.12
awrB	0.05	3.73
ianZ	0.08	5.49
fyoI	0.33	1.91
npaX	0.02	8.81
vinN	0.02	3.72
quvF	0.08	4.97
clqS	0.64	1.42
wmkE	0.01	4.78
hqsT	0.06	0.83
xziH	0.61	1.19
wzwM	0.17	7.25
cvdN	0.40	1.36
vowB	0.05	0.71
hesL	0.11	1.54
xgfG	0.04	5.54
ppfU	0.14	1.39
lamO	0.17	2.74
cupM	0.03	0.66
skxS	0.08	1.72
kgyH	1.83	1.93
mhvB	0.16	4.61
rtjI	0.06	2.10
ynaD	0.16	4.08
nbwW	0.01	5.99
lmtW	0.01	0.82
lruQ	0.02	7.92
dmyD	0.05	11.47
grnM	0.24	6.23
qsvQ	1.49	4.55
cjjI	0.08	3.66
mwlY	0.14	2.62
srkU	0.13	0.44
dzeK	0.20	0.79
kdoQ	0.00	17.31
biaY	0.03	2.44
taqW	0.22	3.00
wwzD	0.06	2.13
qyfB	0.14	52.48
czpR	0.08	2.48
pcfN	0.09	8.77
hwaY	0.02	1.58
bwbP	0.26	2.83
jrkI	0.02	4.50
kxxU	0.03	2.19
tknA	0.11	2.46
tjuM	0.21	14.03
wnfP	0.36	0.62
fafS	0.07	1.35
ypfE	0.03	2.39
nruK	0.29	5.08
epvH	0.00	2.10
lxeH	0.34	3.72
anpB	0.36	2.52
iadZ	1.13	5.18
kozJ	0.03	15.67
njeE	0.30	3.90
hkeW	0.10	1.39
brfN	0.07	2.63
xmaN	0.28	2.32
vjtY	0.20	2.01
gpnW	0.10	0.53
ngcS	0.12	3.55
xhpS	0.21	0.56
arrD	0.06	2.83
sdyY	0.02	1.56
iyhX	0.01	0.53
zzuJ	0.11	1.14
pbfJ	2.42	1.13
toaO	0.07	8.21
iuaP	0.05	25.70
zawH	0.01	0.69
xdaD	0.04	6.22
vlbF	0.09	3.24
rnlY	0.02	1.84
vvdB	0.06	6.27
weuK	0.27	3.01
vxeZ	0.07	1.44
gmfQ	0.10	1.78
wriF	0.03	8.66
dirI	0.03	1.29
ytsG	0.12	3.47
jqqB	0.33	2.96
iejN	0.07	8.55
curL	0.06	9.54
nshV	0.16	4.54
uzcM	0.02	5.36
hovA	0.74	3.44
wsuV	0.02	7.46
nlnE	0.00	2.98
wiuL	0.69	1.76
iiqV	0.03	4.92
pcnY	0.12	5.03
hipQ	0.04	3.98
axvV	0.21	0.86
crcL	0.26	3.26
yvoQ	0.00	3.71
qutD	0.01	4.16
gpeO	2.80	5.22
oyfE	0.03	2.36
aynK	0.53	1.88
djqZ	0.89	4.27
rwdL	0.11	2.30
srpB	0.42	2.83
hwjG	0.07	2.62
tcsP	0.09	9.23
tuvZ	0.04	9.03
hihU	0.01	2.68
kncE	1.07	1.48
bqiF	0.15	2.20
raqG	3.12	2.91
mshU	0.22	5.30
azpH	1.09	17.89
fusP	0.80	12.61
fxgC	0.09	3.05
bojA	0.78	4.89
mduC	0.75	2.92
lxxY	0.12	1.47
rwnB	0.01	7.42
igvC	0.03	1.69
hsnT	0.01	3.74
ovhV	0.02	0.95
yjqS	0.03	3.92
fspW	0.23	8.18
ldzG	1.52	9.08
egwA	0.12	2.04
bldN	0.22	4.50
gguV	0.08	5.82
nsdW	0.00	2.77
wagG	0.06	3.92
hmrM	0.04	3.20
mkcU	0.09	2.70
zjhQ	0.01	7.03
jekP	0.07	3.31
bjcH	0.07	2.60
eqoN	0.12	3.73
ykyW	0.70	8.82
tmnG	0.23	2.87
ttcU	0.02	8.59
rocG	0.10	1.01
mtkU	0.21	6.80
zjzL	0.00	7.71
xosW	0.57	4.92
hvxC	0.02	7.42
hehU	0.51	3.40
eikD	0.23	1.89
ptgT	0.01	6.66
xrsY	0.13	0.92
ayjE	0.40	8.81
rlgM	0.21	2.99
qrbD	0.28	2.12
gtsU	0.02	3.33
kfqF	0.01	1.12
hzqU	0.05	4.07
srmE	0.07	4.86
ntsY	0.05	3.75
japL	0.01	2.58
ghiX	0.20	27.52
kamY	0.02	4.29
pfhT	14.67	1.48
tfjP	0.07	3.51
wpiT	0.01	1.90
jlfY	0.22	2.53
hmcX	0.03	4.74
pupJ	0.17	1.34
jrwQ	0.00	3.54
vihZ	0.01	2.36
wkjC	1.45	2.02
kpnS	0.20	10.01
nmgO	0.10	1.23
sqbO	0.39	5.38
